"Bison bison", "Bison bison","American Bison","Bovidae","Artiodactyla",    
"Oreamnos americanus", "Oreamnos americanus","Mountain Goat","Bovidae","Artiodactyla",    
"Ovibos moschatus", "Ovibos moschatus","Muskox","Bovidae","Artiodactyla",    
"Ovis dalli", "Ovis dalli","Dall's Sheep","Bovidae","Artiodactyla",    
"Alces alces", "Alces alces","Moose","Cervidae","Artiodactyla","Mammalia"
"Cervus canadensis", "Cervus canadensis","Elk","Cervidae","Artiodactyla",    
"Odocoileus hemionus", "Odocoileus hemionus","Mule Deer","Cervidae","Artiodactyla",    
"Rangifer tarandus", "Rangifer tarandus","Caribou","Cervidae","Artiodactyla",    
"Canis latrans", "Canis latrans","Coyote","Canidae","Carnivora",    
"Canis lupus", "Canis lupus","Gray Wolf","Canidae","Carnivora",    
"Vulpes lagopus", "Vulpes lagopus","Arctic Fox","Canidae","Carnivora",    
"Vulpes vulpes", "Vulpes vulpes","Red Fox","Canidae","Carnivora",    
"Lynx canadensis", "Lynx canadensis","Canadian Lynx","Felidae","Carnivora",    
"Puma concolor", "Puma concolor","Cougar","Felidae","Carnivora",    
"Enhydra lutris", "Enhydra lutris","Sea Otter","Mustelidae","Carnivora",    
"Gulo gulo", "Gulo gulo","Wolverine","Mustelidae","Carnivora",    
"Lontra canadensis", "Lontra canadensis","North American River Otter","Mustelidae","Carnivora",    
"Martes americana", "Martes americana","American Marten","Mustelidae","Carnivora",    
"Martes caurina", "Martes caurina","Pacific Marten","Mustelidae","Carnivora",    
"Martes pennanti", "Martes pennanti","Fisher","Mustelidae","Carnivora",    
"Mustela erminea", "Mustela erminea","Beringian Ermine","Mustelidae","Carnivora",  "Colella et al. 2021"
"Mustela haidarum", "Mustela haidarum","Haida Ermine","Mustelidae","Carnivora",  "Colella et al. 2021"
"Mustela nivalis", "Mustela nivalis","Least Weasel","Mustelidae","Carnivora",    
"Mustela richardsonii", "Mustela richardsonii","American Ermine","Mustelidae","Carnivora",  "Colella et al. 2021"
"Neovison vison", "Neovison vison","American Mink","Mustelidae","Carnivora",    
"Odobenus rosmarus", "Odobenus rosmarus","Walrus","Odobenidae","Carnivora",    
"Arctocephalus townsendi", "Arctocephalus townsendi","Guadalupe Fur Seal","Otariidae","Carnivora",    
"Callorhinus ursinus", "Callorhinus ursinus","Northern Fur Seal","Otariidae","Carnivora",    
"Eumetopias jubatus", "Eumetopias jubatus","Steller Sea Lion","Otariidae","Carnivora",    
"Zalophus californianus", "Zalophus californianus","California Sea Lion","Otariidae","Carnivora",    
"Cystophora cristata", "Cystophora cristata","Hooded Seal","Phocidae","Carnivora",    
"Erignathus barbatus", "Erignathus barbatus","Bearded Seal","Phocidae","Carnivora",    
"Histriophoca fasciata", "Histriophoca fasciata","Ribbon Seal","Phocidae","Carnivora",    
"Mirounga angustirostris", "Mirounga angustirostris","Northern Elephant Seal","Phocidae","Carnivora",    
"Pagophilus groenlandicus", "Pagophilus groenlandicus","Harp Seal","Phocidae","Carnivora",    
"Phoca largha", "Phoca largha","Spotted Seal","Phocidae","Carnivora",    
"Phoca vitulina", "Phoca vitulina","Harbor Seal","Phocidae","Carnivora",    
"Pusa hispida", "Pusa hispida","Ringed Seal","Phocidae","Carnivora",    
"Procyon lotor", "Procyon lotor","Raccoon","Procyonidae","Carnivora",    
"Ursus americanus", "Ursus americanus","American Black Bear","Ursidae","Carnivora",    
"Ursus arctos", "Ursus arctos","Brown Bear","Ursidae","Carnivora",    
"Ursus maritimus", "Ursus maritimus","Polar Bear","Ursidae","Carnivora",    
"Balaena mysticetus", "Balaena mysticetus","Bowhead","Balaenidae","Cetacea",    
"Eubalaena japonica", "Eubalaena japonica","North Pacific Right Whale","Balaenidae","Cetacea",    
"Balaenoptera acutorostrata", "Balaenoptera acutorostrata","Common Minke Whale","Balaenopteridae","Cetacea",    
"Balaenoptera borealis", "Balaenoptera borealis","Sei Whale","Balaenopteridae","Cetacea",    
